"n","nnodes","pnodes","rate","delta"
800,17078,0.0837157,0.157649,14323.0
1600,31401,0.0769632,0.145878,13689.0
2400,44456,0.0726405,0.138343,13057.0
3200,57515,0.0704841,0.134584,12997.5
4000,70451,0.0690696,0.132118,12598.5
4800,82712,0.0675752,0.129513,12376.5
5600,95204,0.0666695,0.127935,12312.0
6400,107336,0.0657696,0.126366,12048.0
7200,119300,0.0649782,0.124986,12086.0
8000,131508,0.0644647,0.124091,11984.0
8800,143268,0.0638449,0.123011,11363.5
9600,154235,0.0630045,0.121546,11276.0
10400,165820,0.0625264,0.120713,11378.0
11200,176991,0.0619716,0.119745,11081.5
12000,187983,0.0614324,0.118805,11329.5
12800,199650,0.0611673,0.118343,11544.0
13600,211071,0.0608625,0.117812,11152.5
14400,221955,0.0604453,0.117085,11058.0
15200,233187,0.0601618,0.116591,10945.0
16000,243845,0.0597659,0.115901,10855.0
16800,254897,0.0594998,0.115437,11143.5
17600,266132,0.0592986,0.115086,11067.0
18400,277031,0.0590433,0.114641,10980.5
19200,288093,0.0588425,0.114291,10971.5
20000,298974,0.0586224,0.113907,10891.5
20800,309876,0.0584231,0.11356,10959.5
21600,320893,0.0582594,0.113275,10833.5
22400,331543,0.0580432,0.112898,10712.5
23200,342318,0.0578631,0.112584,10645.5
24000,352834,0.0576526,0.112217,10727.5
24800,363773,0.0575226,0.11199,11128.5
25600,375091,0.0574588,0.111879,11224.5
26400,386222,0.0573711,0.111726,10897.5
27200,396886,0.0572212,0.111465,10592.0
28000,407406,0.0570597,0.111183,10488.0
28800,417862,0.0568984,0.110902,10345.5
29600,428097,0.0567166,0.110585,10161.0
30400,438184,0.0565253,0.110252,10255.5
31200,448608,0.0563861,0.110009,10566.0
32000,459316,0.0562887,0.109839,10610.0
32800,469828,0.0561726,0.109637,10505.0
33600,480326,0.0560605,0.109441,10504.5
34400,490837,0.055955,0.109257,10455.5
35200,501237,0.0558419,0.10906,10412.0
36000,511661,0.0557365,0.108877,10398.0
36800,522033,0.0556301,0.108691,10172.5
