"n","nnodes","pnodes","rates","delta"
800,9996,0.049,0.0971338,9679.0
1600,19675,0.048223,0.0957794,9284.0
2400,28564,0.0466732,0.0930778,8851.5
3200,37378,0.0458064,0.0915668,8936.0
4000,46436,0.0455255,0.0910771,8711.0
4800,54800,0.0447712,0.0897624,8439.5
5600,63315,0.0443382,0.0890076,8407.0
6400,71614,0.0438811,0.0882108,8359.5
7200,80034,0.0435915,0.0877059,8505.0
8000,88624,0.0434431,0.0874473,8539.5
8800,97113,0.0432767,0.0871572,8235.5
9600,105095,0.042931,0.0865545,8128.0
10400,113369,0.0427485,0.0862364,8228.0
11200,121551,0.0425599,0.0859076,8051.5
12000,129472,0.0423111,0.085474,8156.5
12800,137864,0.0422377,0.0853461,8315.0
13600,146102,0.0421286,0.0851558,7970.5
14400,153805,0.0418859,0.0847327,7851.0
15200,161804,0.0417451,0.0844873,7830.5
16000,169466,0.0415358,0.0841224,7696.5
16800,177197,0.0413625,0.0838204,7797.0
17600,185060,0.0412344,0.0835971,7758.0
18400,192713,0.0410727,0.0833152,7761.0
19200,200582,0.0409685,0.0831336,7782.0
20000,208277,0.0408386,0.0829072,7842.0
20800,216266,0.0407741,0.0827948,7996.0
21600,224269,0.040717,0.0826951,7996.0
22400,232258,0.0406614,0.0825983,7972.5
23200,240214,0.0406041,0.0824984,7814.0
24000,247886,0.0405042,0.0823243,7896.5
24800,256007,0.0404818,0.0822852,8239.5
25600,264365,0.0404971,0.0823118,8170.0
26400,272347,0.0404556,0.0822395,7886.5
27200,280138,0.040389,0.0821234,7818.0
28000,287983,0.0403338,0.0820271,7819.0
28800,295776,0.0402745,0.0819238,7700.5
29600,303384,0.040194,0.0817834,7493.5
30400,310763,0.0400881,0.0815989,7489.0
31200,318362,0.0400153,0.081472,7588.5
32000,325940,0.0399436,0.081347,7600.5
32800,333563,0.0398808,0.0812375,7610.0
33600,341160,0.0398179,0.0811279,7550.0
34400,348663,0.0397473,0.0810048,7513.0
35200,356186,0.039682,0.0808911,7464.5
36000,363592,0.039607,0.0807602,7447.0
36800,371080,0.0395439,0.0806503,7282.5
37600,378157,0.0394407,0.0804703,7262.5
38400,385605,0.0393796,0.0803638,7460.0
39200,393077,0.0393234,0.0802659,7287.5
40000,400180,0.0392333,0.0801089,7281.5
40800,407640,0.0391811,0.0800178,7328.0
41600,414836,0.039106,0.0798869,7160.0
42400,421960,0.039027,0.0797492,7275.0
43200,429386,0.0389784,0.0796645,7303.0
44000,436566,0.0389096,0.0795446,7244.5
44800,443875,0.0388546,0.0794487,7295.0
45600,451156,0.0387991,0.079352,7209.0
46400,458293,0.0387334,0.0792373,7201.5
47200,465559,0.0386805,0.0791453,7332.5
48000,472958,0.0386404,0.0790752,7345.0
48800,480249,0.0385928,0.0789924,7263.5
49600,487485,0.0385425,0.0789046,7210.5
50400,494670,0.0384897,0.0788127,7235.5
51200,501956,0.0384464,0.0787371,7267.0
52000,509204,0.0384015,0.0786589,7180.0
52800,516316,0.0383479,0.0785654,7084.0
53600,523372,0.0382918,0.0784676,7091.5
54400,530499,0.0382424,0.0783816,7005.5
55200,537383,0.0381773,0.078268,6990.0
56000,544479,0.0381288,0.0781835,7018.0
56800,551419,0.0380709,0.0780826,7003.0
57600,558485,0.0380232,0.0779995,7092.5
58400,565604,0.0379804,0.0779248,6940.5
59200,572366,0.0379151,0.0778109,6899.5
60000,579403,0.0378695,0.0777315,7058.5
60800,586483,0.0378279,0.0776589,7120.5
61600,593644,0.0377925,0.0775972,7175.5
62400,600834,0.0377598,0.0775403,7158.5
63200,607961,0.0377241,0.077478,7070.5
64000,614975,0.0376823,0.0774052,7064.5
64800,622090,0.0376477,0.0773448,7097.5
65600,629170,0.0376118,0.0772823,7053.0
66400,636196,0.0375736,0.0772157,6974.5
67200,643119,0.0375303,0.0771402,7030.0
68000,650256,0.0375003,0.077088,7086.0
68800,657291,0.0374653,0.0770269,6907.5
69600,664071,0.0374167,0.0769421,6908.0
70400,671107,0.0373834,0.0768842,7042.0
71200,678155,0.0373516,0.0768287,7204.0
72000,685515,0.0373374,0.076804,7304.5
72800,692764,0.0373176,0.0767695,7009.0
73600,699533,0.0372726,0.0766911,7076.0
74400,706916,0.037261,0.0766708,7237.5
75200,714008,0.0372345,0.0766245,7150.5
76000,721217,0.0372145,0.0765897,7023.5
76800,728055,0.037176,0.0765226,6917.5
77600,735052,0.0371464,0.0764709,6923.5
78400,741902,0.0371099,0.0764075,6926.0
79200,748904,0.0370818,0.0763584,7014.5
80000,755931,0.0370554,0.0763125,6946.0
80800,762796,0.0370217,0.0762537,6826.5
81600,769584,0.036985,0.0761897,7028.0
82400,776852,0.0369718,0.0761667,7177.5
83200,783939,0.0369504,0.0761293,7046.0
84000,790944,0.0369255,0.0760859,6974.0
84800,797887,0.0368982,0.0760384,6932.5
85600,804809,0.0368705,0.0759901,6912.0
86400,811711,0.0368424,0.075941,6902.0
87200,818613,0.0368148,0.0758929,7011.0
88000,825733,0.0367974,0.0758626,7094.0
88800,832801,0.036778,0.0758288,6967.5
89600,839668,0.0367502,0.0757803,6877.5
90400,846556,0.0367238,0.0757343,7058.5
91200,853785,0.0367125,0.0757146,7147.5
92000,860851,0.0366944,0.0756831,7017.0
92800,867819,0.0366725,0.075645,7062.0
93600,874975,0.0366589,0.0756213,7095.5
94400,882010,0.0366405,0.0755891,6879.0
95200,888733,0.0366095,0.0755352,6895.0
96000,895800,0.0365931,0.0755066,7033.0
96800,902799,0.0365743,0.0754737,6865.0
97600,909530,0.0365449,0.0754225,6731.5
98400,916262,0.0365161,0.0753723,6807.0
99200,923144,0.0364937,0.0753332,6809.0
100000,929880,0.0364659,0.0752848,6732.5
100800,936609,0.0364383,0.0752366,6889.0
101600,943658,0.0364234,0.0752107,6975.5
102400,950560,0.0364032,0.0751755,6676.0
