"n","d","ngram"
2,0.0,"drug"
3,0.019865791006729343,"drug"
4,0.03460395774805829,"drug"
5,0.04122949890438343,"drug"
6,0.05010544625711049,"drug"
7,0.0519543532278737,"drug"
8,0.05324719161855743,"drug"
9,0.055323769775787575,"drug"
10,0.05540453018961376,"drug"
11,0.05762656112591452,"drug"
12,0.059216162334163144,"drug"
13,0.059634512483507346,"drug"
14,0.059733020244500175,"drug"
15,0.06004219331106408,"drug"
16,0.0632296354112135,"drug"
17,0.06728339388730432,"drug"
18,0.0683100730102947,"drug"
19,0.06931795142262694,"drug"
20,0.07263824119072032,"drug"
21,0.07334003000861786,"drug"
22,0.07343882731534092,"drug"
23,0.07530100159446525,"drug"
24,0.07791167561435408,"drug"
25,0.07943359649771618,"drug"
26,0.08175725596968893,"drug"
27,0.08297882754394438,"drug"
28,0.08309090318009586,"drug"
29,0.08344060443535865,"drug"
30,0.08376769399905762,"drug"
31,0.08451804907461975,"drug"
32,0.08502080412077012,"drug"
33,0.0857212441949154,"drug"
34,0.08633629743708264,"drug"
35,0.08699602761251099,"drug"
36,0.08764962283429054,"drug"
37,0.0878131566798583,"drug"
38,0.08790602645169687,"drug"
39,0.08801207657378866,"drug"
40,0.08983763754929465,"drug"
41,0.09073201340406814,"drug"
42,0.09093621508107956,"drug"
43,0.0916598604609296,"drug"
44,0.09186605449159405,"drug"
45,0.09255219313365824,"drug"
46,0.09293382708335027,"drug"
47,0.0957467050989056,"drug"
48,0.09622981973874076,"drug"
49,0.0963257524770106,"drug"
50,0.10036474484935637,"drug"
51,0.10051448508752853,"drug"
52,0.1010441354794784,"drug"
53,0.10109220837330944,"drug"
54,0.10155726306185307,"drug"
55,0.10303541030854668,"drug"
56,0.10431767467676124,"drug"
57,0.10468728564812747,"drug"
58,0.10572104291963959,"drug"
59,0.10656801785787112,"drug"
60,0.10657153866245016,"drug"
61,0.10691766443632586,"drug"
62,0.10700553073982728,"drug"
63,0.10749147912100625,"drug"
64,0.10881048223956996,"drug"
65,0.11036508793308748,"drug"
66,0.11037364284630156,"drug"
67,0.11075347544157518,"drug"
68,0.11135651198438312,"drug"
69,0.11165634706119693,"drug"
70,0.11193522583339123,"drug"
71,0.11255303734459456,"drug"
72,0.1131162412998219,"drug"
73,0.11330116770702783,"drug"
74,0.11341693617198025,"drug"
75,0.11363268975317183,"drug"
76,0.11414631385814696,"drug"
77,0.11428041394267643,"drug"
78,0.11457165223597433,"drug"
79,0.11510237576044292,"drug"
80,0.11536166233047654,"drug"
81,0.11586261463093042,"drug"
82,0.11592274075343191,"drug"
83,0.11609416784410434,"drug"
84,0.1167110717439463,"drug"
85,0.11707469787704151,"drug"
86,0.11713163027357908,"drug"
87,0.1173982077104762,"drug"
88,0.11772984621417464,"drug"
89,0.11782081590485158,"drug"
90,0.11814318116263048,"drug"
91,0.11893723764140371,"drug"
92,0.11969635367400842,"drug"
93,0.11978064825291408,"drug"
94,0.12053138202649392,"drug"
95,0.12261626991203747,"drug"
96,0.12397680097705055,"drug"
97,0.12503418108844452,"drug"
98,0.12580596029153499,"drug"
99,0.12601952536194752,"drug"
100,0.12612752560341262,"drug"
2,0.0,"know"
