resolution,ngram,fetched,dtw
2,drug,803042,803042
2,know,803042,803042
2,war,803042,803042
4,drug,803042,803042
4,know,803042,802986
4,war,803042,802863
8,drug,803042,802357
8,know,803042,764146
8,war,803042,781494
16,drug,803042,769905
16,know,803040,469713
16,war,803042,677934
32,drug,803042,601130
32,know,803031,85074
32,war,803042,342665
64,drug,803042,126268
64,know,802975,7603
64,war,803040,26712
128,drug,803042,16514
128,know,802925,2631
128,war,803039,8102
256,drug,803042,10645
256,know,802881,1677
256,war,803037,6161
