"x","y","label"
0.0,"1.0","know"
0.0001,"0.98828125","know"
0.0002,"0.98828125","know"
0.0003,"0.98828125","know"
0.0004,"0.98828125","know"
0.0005,"0.98046875","know"
0.0006,"0.984375","know"
0.0007,"0.9765625","know"
0.0008,"0.9765625","know"
0.0009,"0.96875","know"
0.001,"0.95703125","know"
0.0011,"0.953125","know"
0.0012,"0.9375","know"
0.0013,"0.92578125","know"
0.0014,"0.8984375","know"
0.0015,"0.80859375","know"
0.0016,"0.77734375","know"
0.0017,"0.75","know"
0.0018,"0.72265625","know"
0.0019,"0.69921875","know"
0.002,"0.6796875","know"
0.0021,"0.6640625","know"
0.0022,"0.6484375","know"
0.0023,"0.6328125","know"
0.0024,"0.62890625","know"
0.0025,"0.609375","know"
0.0026,"0.59765625","know"
0.0027,"0.59765625","know"
0.0028,"0.58203125","know"
0.0029,"0.578125","know"
0.003,"0.56640625","know"
0.0031,"0.5625","know"
0.0032,"0.55078125","know"
0.0033,"0.5546875","know"
0.0034,"0.5390625","know"
0.0035,"0.5390625","know"
0.0036,"0.53515625","know"
0.0037,"0.53125","know"
0.0038,"0.5234375","know"
0.0039,"0.51953125","know"
0.004,"0.51171875","know"
0.0041,"0.51171875","know"
0.0042,"0.5078125","know"
0.0043,"0.50390625","know"
0.0044,"0.50390625","know"
0.0045,"0.49609375","know"
0.0046,"0.49609375","know"
0.0047,"0.4921875","know"
0.0048,"0.48828125","know"
0.0049,"0.48828125","know"
0.005,"0.484375","know"
0.0051,"0.484375","know"
0.0052,"0.484375","know"
0.0053,"0.48046875","know"
0.0054,"0.47265625","know"
0.0055,"0.46875","know"
0.0056,"0.4609375","know"
0.0057,"0.4375","know"
0.0058,"0.421875","know"
0.0059,"0.41015625","know"
0.006,"0.3984375","know"
0.0061,"0.38671875","know"
0.0062,"0.37890625","know"
0.0063,"0.375","know"
0.0064,"0.37109375","know"
0.0065,"0.359375","know"
0.0066,"0.359375","know"
0.0067,"0.34765625","know"
0.0068,"0.34375","know"
0.0069,"0.33984375","know"
0.007,"0.3359375","know"
0.0071,"0.33203125","know"
0.0072,"0.328125","know"
0.0073,"0.3203125","know"
0.0074,"0.31640625","know"
0.0075,"0.30859375","know"
0.0076,"0.3046875","know"
0.0077,"0.30078125","know"
0.0078,"0.30078125","know"
