"x","y","label"
1753,1.5849427e7,"sum(all)"
1754,1.6912854e7,"sum(all)"
1755,1.677969e7,"sum(all)"
1756,7.197363e6,"sum(all)"
1757,1.1303413e7,"sum(all)"
1758,1.4149384e7,"sum(all)"
1759,1.7476587e7,"sum(all)"
1760,1.2029797e7,"sum(all)"
1761,1.4678038e7,"sum(all)"
1762,9.248441e6,"sum(all)"
1763,1.6587951e7,"sum(all)"
1764,1.537211e7,"sum(all)"
1765,1.2868566e7,"sum(all)"
1766,2.1951413e7,"sum(all)"
1767,1.656633e7,"sum(all)"
1768,2.2561229e7,"sum(all)"
1769,1.5057671e7,"sum(all)"
1770,1.8083501e7,"sum(all)"
1771,1.6447074e7,"sum(all)"
1772,1.6547587e7,"sum(all)"
1773,1.5385727e7,"sum(all)"
1774,1.5996375e7,"sum(all)"
1775,2.0688494e7,"sum(all)"
1776,2.1867617e7,"sum(all)"
1777,1.8624302e7,"sum(all)"
1778,1.7064255e7,"sum(all)"
1779,1.5142426e7,"sum(all)"
1780,1.588713e7,"sum(all)"
1781,1.7577124e7,"sum(all)"
1782,1.7526531e7,"sum(all)"
1783,1.7214276e7,"sum(all)"
1784,2.2025551e7,"sum(all)"
1785,2.1770466e7,"sum(all)"
1786,2.272707e7,"sum(all)"
1787,3.3747302e7,"sum(all)"
1788,3.5339449e7,"sum(all)"
1789,3.1252833e7,"sum(all)"
1790,3.3301842e7,"sum(all)"
1791,3.6498981e7,"sum(all)"
1792,3.9099924e7,"sum(all)"
1793,3.4447663e7,"sum(all)"
1794,3.9988976e7,"sum(all)"
1795,3.7990081e7,"sum(all)"
1796,4.6045723e7,"sum(all)"
1797,3.8575452e7,"sum(all)"
1798,3.7992183e7,"sum(all)"
1799,4.1307657e7,"sum(all)"
1800,5.8528387e7,"sum(all)"
1801,8.8775539e7,"sum(all)"
1802,7.8804549e7,"sum(all)"
1803,8.6448649e7,"sum(all)"
1804,9.4105381e7,"sum(all)"
1805,9.5101352e7,"sum(all)"
1806,9.7676219e7,"sum(all)"
1807,1.0620119e8,"sum(all)"
1808,1.08002475e8,"sum(all)"
1809,1.14301477e8,"sum(all)"
1810,1.24610615e8,"sum(all)"
1811,1.46397902e8,"sum(all)"
1812,1.42373472e8,"sum(all)"
1813,1.19527172e8,"sum(all)"
1814,1.38743228e8,"sum(all)"
1815,1.29728184e8,"sum(all)"
1816,1.33594534e8,"sum(all)"
1817,1.5078779e8,"sum(all)"
1818,1.68924038e8,"sum(all)"
1819,1.44105304e8,"sum(all)"
1820,1.91718562e8,"sum(all)"
1821,1.5000771e8,"sum(all)"
1822,2.2401637e8,"sum(all)"
1823,2.11409213e8,"sum(all)"
1824,2.55666929e8,"sum(all)"
1825,2.6398031e8,"sum(all)"
1826,2.02254467e8,"sum(all)"
1827,2.10979869e8,"sum(all)"
1828,2.2791181e8,"sum(all)"
1829,2.43973802e8,"sum(all)"
1830,2.84623052e8,"sum(all)"
1831,2.610256e8,"sum(all)"
1832,2.61080325e8,"sum(all)"
1833,2.59203415e8,"sum(all)"
1834,2.51814737e8,"sum(all)"
1835,2.97003884e8,"sum(all)"
1836,3.05891986e8,"sum(all)"
1837,2.81089801e8,"sum(all)"
1838,2.98462479e8,"sum(all)"
1839,3.44284995e8,"sum(all)"
1840,3.52450686e8,"sum(all)"
1841,3.22150988e8,"sum(all)"
1842,2.90351798e8,"sum(all)"
1843,3.36266247e8,"sum(all)"
1844,3.49263753e8,"sum(all)"
1845,3.80299051e8,"sum(all)"
1846,3.82004682e8,"sum(all)"
1847,3.69420315e8,"sum(all)"
1848,3.87796179e8,"sum(all)"
1849,3.93025417e8,"sum(all)"
1850,4.20205932e8,"sum(all)"
1851,4.47678747e8,"sum(all)"
1852,4.65576434e8,"sum(all)"
1853,5.21173322e8,"sum(all)"
1854,5.68699028e8,"sum(all)"
1855,5.02709154e8,"sum(all)"
1856,5.4352444e8,"sum(all)"
1857,4.70778318e8,"sum(all)"
1858,4.49747309e8,"sum(all)"
1859,4.87807435e8,"sum(all)"
1860,5.05139164e8,"sum(all)"
1861,3.83606515e8,"sum(all)"
1862,3.2866157e8,"sum(all)"
1863,3.46563159e8,"sum(all)"
1864,4.08478227e8,"sum(all)"
1865,4.17604829e8,"sum(all)"
1866,4.53717179e8,"sum(all)"
1867,4.29682096e8,"sum(all)"
1868,4.52780265e8,"sum(all)"
1869,4.61771576e8,"sum(all)"
1870,4.54452349e8,"sum(all)"
1871,4.64638269e8,"sum(all)"
1872,4.68608441e8,"sum(all)"
1873,4.83612783e8,"sum(all)"
1874,5.27020469e8,"sum(all)"
1875,5.33164456e8,"sum(all)"
1876,5.59199911e8,"sum(all)"
1877,5.50960971e8,"sum(all)"
1878,5.18554616e8,"sum(all)"
1879,5.41032116e8,"sum(all)"
1880,6.48426496e8,"sum(all)"
1881,6.52245348e8,"sum(all)"
1882,6.84361624e8,"sum(all)"
1883,7.69940813e8,"sum(all)"
1884,7.26665834e8,"sum(all)"
1885,7.05814401e8,"sum(all)"
1886,5.99254516e8,"sum(all)"
1887,6.62437149e8,"sum(all)"
1888,6.5680306e8,"sum(all)"
1889,6.29306877e8,"sum(all)"
1890,6.48631378e8,"sum(all)"
1891,7.01314476e8,"sum(all)"
1892,7.71769793e8,"sum(all)"
1893,7.54739721e8,"sum(all)"
1894,7.42408366e8,"sum(all)"
1895,8.12426909e8,"sum(all)"
1896,8.65940236e8,"sum(all)"
1897,8.50001563e8,"sum(all)"
