maxerror,ngram,maxlevel,r,ndtw,sdiff,enew
1,drug,0,0,1,0.05000,0.95000
1,drug,0,5,1,0.05000,0.95000
1,drug,0,10,1,0.05000,0.95000
1,drug,0,15,1,0.05000,0.95000
1,drug,0,20,1,0.05000,0.95000
1,drug,1,0,1,0.05000,0.95000
1,drug,1,5,1,0.05000,0.95000
1,drug,1,10,1,0.05000,0.95000
1,drug,1,15,1,0.05000,0.95000
1,drug,1,20,1,0.05000,0.95000
1,drug,2,0,1,0.05000,0.95000
1,drug,2,5,1,0.05000,0.95000
1,drug,2,10,1,0.05000,0.95000
1,drug,2,15,1,0.05000,0.95000
1,drug,2,20,1,0.05000,0.95000
1,drug,3,0,1,0.05000,0.95000
1,drug,3,5,1,0.05000,0.95000
1,drug,3,10,1,0.05000,0.95000
1,drug,3,15,1,0.05000,0.95000
1,drug,3,20,1,0.05000,0.95000
1,drug,4,0,3,0.05000,0.95000
1,drug,4,5,3,0.05000,0.95000
1,drug,4,10,3,0.05000,0.95000
1,drug,4,15,3,0.05000,0.95000
1,drug,4,20,3,0.05000,0.95000
1,drug,5,0,3528,0.05000,0.80000
1,drug,5,5,3528,0.10000,0.60000
1,drug,5,10,3528,0.05000,0.75000
1,drug,5,15,3528,0.10000,0.75000
1,drug,5,20,3528,0.10000,0.75000
1,drug,6,0,652240,1.00000,0.00000
1,drug,6,5,652699,1.00000,0.00000
1,drug,6,10,652924,1.00000,0.00000
1,drug,6,15,652845,1.00000,0.00000
1,drug,6,20,652819,1.00000,0.00000
2,drug,0,0,1,0.05000,0.95000
2,drug,0,5,1,0.05000,0.95000
2,drug,0,10,1,0.05000,0.95000
2,drug,0,15,1,0.05000,0.95000
2,drug,0,20,1,0.05000,0.95000
2,drug,1,0,1,0.05000,0.95000
2,drug,1,5,1,0.05000,0.95000
2,drug,1,10,1,0.05000,0.95000
2,drug,1,15,1,0.05000,0.95000
2,drug,1,20,1,0.05000,0.95000
2,drug,2,0,1,0.05000,0.95000
2,drug,2,5,1,0.05000,0.95000
2,drug,2,10,1,0.05000,0.95000
2,drug,2,15,1,0.05000,0.95000
2,drug,2,20,1,0.05000,0.95000
2,drug,3,0,21,0.05000,0.95000
2,drug,3,5,21,0.05000,0.95000
2,drug,3,10,21,0.05000,0.95000
2,drug,3,15,21,0.05000,0.95000
2,drug,3,20,21,0.05000,0.95000
2,drug,4,0,8314,0.60000,0.20000
2,drug,4,5,8315,0.60000,0.20000
2,drug,4,10,8315,0.70000,0.15000
2,drug,4,15,8316,0.55000,0.25000
2,drug,4,20,8316,0.60000,0.20000
2,drug,5,0,520342,1.00000,0.00000
2,drug,5,5,520684,1.00000,0.00000
2,drug,5,10,520906,1.00000,0.00000
2,drug,5,15,520859,1.00000,0.00000
2,drug,5,20,520800,1.00000,0.00000
2,drug,6,0,781533,1.00000,0.00000
2,drug,6,5,782275,1.00000,0.00000
2,drug,6,10,782564,1.00000,0.00000
2,drug,6,15,782516,1.00000,0.00000
2,drug,6,20,782590,1.00000,0.00000
5,drug,0,0,1,0.05000,0.95000
5,drug,0,5,1,0.05000,0.95000
5,drug,0,10,1,0.05000,0.95000
5,drug,0,15,1,0.05000,0.95000
5,drug,0,20,1,0.05000,0.95000
5,drug,1,0,1,0.05000,0.95000
5,drug,1,5,1,0.05000,0.95000
5,drug,1,10,1,0.05000,0.95000
5,drug,1,15,1,0.05000,0.95000
5,drug,1,20,1,0.05000,0.95000
5,drug,2,0,6,0.05000,0.95000
5,drug,2,5,6,0.05000,0.95000
5,drug,2,10,6,0.05000,0.95000
5,drug,2,15,6,0.05000,0.95000
5,drug,2,20,6,0.05000,0.95000
5,drug,3,0,275328,0.05000,0.80000
5,drug,3,5,275383,0.05000,0.90000
5,drug,3,10,275406,0.05000,0.85000
5,drug,3,15,275383,0.05000,0.90000
5,drug,3,20,275422,0.05000,0.90000
5,drug,4,0,683557,0.05000,0.65000
5,drug,4,5,684100,0.50000,0.25000
5,drug,4,10,684393,0.70000,0.15000
5,drug,4,15,684343,0.60000,0.20000
5,drug,4,20,684388,0.60000,0.20000
5,drug,5,0,772300,0.10000,0.60000
