maxerror,ngram,minweight,r,ndtw,sdiff,enew
2,democraci,0.0000000000001,0,310909,0.70000,0.15000
2,democraci,0.0000000000001,5,310909,0.50000,0.25000
2,democraci,0.0000000000001,10,310909,0.45000,0.35000
2,democraci,0.0000000000001,15,310909,0.45000,0.30000
2,democraci,0.0000000000001,20,310909,0.40000,0.30000
2,democraci,0.000000000001,0,329490,0.70000,0.15000
2,democraci,0.000000000001,5,329490,0.40000,0.35000
2,democraci,0.000000000001,10,329490,0.35000,0.40000
2,democraci,0.000000000001,15,329490,0.35000,0.35000
2,democraci,0.000000000001,20,329490,0.35000,0.35000
2,democraci,0.00000000001,0,304972,0.80000,0.10000
2,democraci,0.00000000001,5,304972,0.50000,0.30000
2,democraci,0.00000000001,10,304972,0.55000,0.30000
2,democraci,0.00000000001,15,304972,0.55000,0.25000
2,democraci,0.00000000001,20,304972,0.55000,0.25000
2,democraci,0.0000000001,0,260925,0.80000,0.10000
2,democraci,0.0000000001,5,260925,0.60000,0.25000
2,democraci,0.0000000001,10,260925,0.60000,0.25000
2,democraci,0.0000000001,15,260925,0.55000,0.25000
2,democraci,0.0000000001,20,260925,0.55000,0.25000
2,democraci,0.000000001,0,224272,0.70000,0.15000
2,democraci,0.000000001,5,224272,0.55000,0.30000
2,democraci,0.000000001,10,224272,0.60000,0.25000
2,democraci,0.000000001,15,224272,0.55000,0.25000
2,democraci,0.000000001,20,224272,0.55000,0.25000
2,democraci,0.00000001,0,166005,0.60000,0.20000
2,democraci,0.00000001,5,166005,0.55000,0.30000
2,democraci,0.00000001,10,166005,0.60000,0.25000
2,democraci,0.00000001,15,166005,0.55000,0.25000
2,democraci,0.00000001,20,166005,0.50000,0.30000
2,democraci,0.0000001,0,124034,0.60000,0.20000
2,democraci,0.0000001,5,124034,0.65000,0.25000
2,democraci,0.0000001,10,124034,0.50000,0.30000
2,democraci,0.0000001,15,124034,0.35000,0.35000
2,democraci,0.0000001,20,124034,0.15000,0.50000
2,democraci,0.000001,0,87768,0.30000,0.45000
2,democraci,0.000001,5,87768,0.20000,0.45000
2,democraci,0.000001,10,87768,0.35000,0.40000
2,democraci,0.000001,15,87768,0.15000,0.45000
2,democraci,0.000001,20,87768,0.05000,0.55000
2,drug,0.0000000000001,0,248046,0.60000,0.20000
2,drug,0.0000000000001,5,248046,0.80000,0.10000
2,drug,0.0000000000001,10,248046,0.80000,0.10000
2,drug,0.0000000000001,15,248046,0.70000,0.15000
2,drug,0.0000000000001,20,248046,0.70000,0.15000
2,drug,0.000000000001,0,230547,0.60000,0.20000
2,drug,0.000000000001,5,230547,0.80000,0.10000
2,drug,0.000000000001,10,230547,0.80000,0.10000
2,drug,0.000000000001,15,230547,0.60000,0.20000
2,drug,0.000000000001,20,230547,0.60000,0.20000
2,drug,0.00000000001,0,212248,0.60000,0.20000
2,drug,0.00000000001,5,212248,0.80000,0.10000
2,drug,0.00000000001,10,212248,0.80000,0.10000
2,drug,0.00000000001,15,212248,0.60000,0.20000
2,drug,0.00000000001,20,212248,0.60000,0.20000
2,drug,0.0000000001,0,213115,0.50000,0.25000
2,drug,0.0000000001,5,213115,0.80000,0.10000
2,drug,0.0000000001,10,213115,0.80000,0.10000
2,drug,0.0000000001,15,213115,0.60000,0.20000
2,drug,0.0000000001,20,213115,0.60000,0.20000
2,drug,0.000000001,0,203067,0.50000,0.25000
2,drug,0.000000001,5,203067,0.60000,0.20000
2,drug,0.000000001,10,203067,0.70000,0.15000
2,drug,0.000000001,15,203067,0.50000,0.25000
2,drug,0.000000001,20,203067,0.50000,0.25000
2,drug,0.00000001,0,161355,0.60000,0.20000
2,drug,0.00000001,5,161355,0.45000,0.30000
2,drug,0.00000001,10,161355,0.60000,0.20000
2,drug,0.00000001,15,161355,0.50000,0.25000
2,drug,0.00000001,20,161355,0.50000,0.25000
2,drug,0.0000001,0,139729,0.60000,0.20000
2,drug,0.0000001,5,139729,0.55000,0.25000
2,drug,0.0000001,10,139729,0.70000,0.15000
2,drug,0.0000001,15,139729,0.60000,0.20000
2,drug,0.0000001,20,139729,0.60000,0.20000
2,drug,0.000001,0,104349,0.10000,0.75000
2,drug,0.000001,5,104349,0.45000,0.30000
2,drug,0.000001,10,104349,0.60000,0.20000
2,drug,0.000001,15,104349,0.55000,0.25000
2,drug,0.000001,20,104349,0.60000,0.20000
2,german,0.0000000000001,0,295671,0.40000,0.30000
2,german,0.0000000000001,5,295671,0.35000,0.35000
2,german,0.0000000000001,10,295671,0.40000,0.30000
2,german,0.0000000000001,15,295671,0.40000,0.30000
2,german,0.0000000000001,20,295671,0.55000,0.25000
2,german,0.000000000001,0,270926,0.40000,0.30000
2,german,0.000000000001,5,270926,0.40000,0.30000
2,german,0.000000000001,10,270926,0.40000,0.30000
2,german,0.000000000001,15,270926,0.35000,0.35000
2,german,0.000000000001,20,270926,0.55000,0.25000
2,german,0.00000000001,0,258932,0.40000,0.30000
2,german,0.00000000001,5,258932,0.15000,0.45000
2,german,0.00000000001,10,258932,0.20000,0.40000
2,german,0.00000000001,15,258932,0.35000,0.40000
